Region,Sub Region,Country,Drug Group,Drug,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,Lithuania,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,1,20,0,3,7,7,9,35,11,8,2,3,13,26,13,4,58,3,3,7
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,7,1,25,3,4,22,49,26,82,18,134,54,58,22,59,7,25,37
,,,,Non-specified ATS,,,,,,,,,,,,,,,1,0,1,3,1,0,0,,0,,,,2,0,,,,,,,,3,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,,,,,2,1,2,10,0,2,0,1,0,13,1,3,1,41,6,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,10,120,3,116,533,3,623,14
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,,,0,,0,14,0,0,27,27,5,16,6,21,19,2,0,2,0,0,1,8,22,17
,,,Hashish (resin),Hashish (resin),,,,,,,,,,,,,,,0,6,0,0,4,1,0,0,1,263,2,68,106,1,35,10,271,168,424,1'090,717,398,551,2'089,389
,,,Heroine and Morphine,Heroin,,,,,,,,,,,,,,,,0,,0,0,1,1,3,3,1,3,2,5,6,14,4,10,11,0,13,7,2,28,4,3
,,,,Illicit morphine,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),,,,,,,,,,,,,0,5,27,1,1,8,30,26,14,16,5,30,16,106,72,160,144,82,86,42,96,124,94,143,68,124,168
,,,Opium,Opium,,,,,,,,,,,,,,,27,56,96,86,50,190,77,130,68,53,56,184,48,83,11,0,,,,,,,,,
,,,Other drugs,Any Illicit drugs,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
,,,,Cannabis plants,,,,,,,,,,,,,,,,,,,,,,,68,600,415,961,,160,144,,,,,,,,,,
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,Coca leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,0,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,0,0,0,,0,26,,0,,0,0,0,,,,,,,,,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,0,,,,,,,,,,,,
,,,,LSD,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,0,,,0,,0,,,,,,,0,0,0
,,,,Non-specified,,,,,,,,,,,,,,,0,,0,0,,,26,,,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,,0,,0,0,1,,0,,,,0,0,,,,,,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,1,0,,,,
,,,,Other prescription medicines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,2,,,,,,,,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,
,,,,Poppy plants,,,,,,,,,,,,,1'023,963,1'020,976,1'652,1'291,1'525,744,623,437,261,275,380,167,51,26,45,16,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,,
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,
,,,,Tryptamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
,,Luxembourg,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,0,0,,0,0,1,0,0,2,0,0,0,3,,5,,0,1,0,2
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0,
,,,,Non-specified ATS,,0,0,,0,0,,0,,,,0,,0,,0,,0,,,,,,0,,,,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",2,0,,,3,27,7,23,5,21,24,14,12,16,15,1,13,9,6,0,11,,2,11,4,1,4,3,6,1,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,24,1,,5,2,3,347
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,0,0,0,0,,0,0,,0,0,1,0,0,0,,3,0,0,0,0,,0,5,0,0
,,,Hashish (resin),Hashish (resin),1,1,1,,13,6,15,16,22,7,14,23,33,392,24,11,14,1,2,1,1,,1,5,0,5,5,0,8,1,13,2,2,8,,1,1,19,181
,,,Heroine and Morphine,Heroin,2,0,0,,3,7,8,0,15,1,1,10,7,11,1,13,3,3,4,2,11,,3,4,6,4,9,9,8,5,5,24,24,4,,7,3,1,3
,,,,Illicit morphine,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),1,0,,,105,48,0,4,168,4,19,1,2,11,293,1,16,34,5,4,8,,18,16,23,17,62,13,21,15,49,11,11,11,,13,21,113,33
,,,Other drugs,Cannabis oil,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,0
,,,,Cannabis plants,,,0,,,,,,,120,,,,,,,,,22,,,,,3,16,,5,0,108,5,4,8,8,1,,10,36,7,3
,,,,Cannabis seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0
,,,,Coca leaf,,,0,,1,1,2,3,,0,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Depressants (excluding Methaqualone),,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,0,,,,,,,,,,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,LSD,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,,0,,,,,,0,,0,0,0,,,,,0,0
,,,,Methaqualone,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,0,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,,,,,,,,,
,,,,Non-specified sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,
,,,,Other illicit opioids,1,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,500
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,,,,,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,47,60,47,,,,,,,,,,78
,,,,Sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,Malta,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
,,,,Non-specified ATS,,0,,,,0,0,,,,,,,,,,0,0,,,0,,,,,,,,,1,,,,,,,,0,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,0,0,0,0,0,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,0,,,0,1,,5,0,1,0,0,0,0,0,1,0,3,5,4,0,6,4,10,21,17,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,143,4,5,21,21,323,188
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,0,0,,0,0,0,1,1,0,2,2,5,4,8,4,6,10,1,0,8,0,0,1,0,0
,,,Hashish (resin),Hashish (resin),,0,0,39,0,1,0,0,0,33,5,1,1,0,1,1,1,2,25,2,4,4,9,34,33,20,45,2,23,23,43,89,16,1,42,70,109,591,17'366
,,,Heroine and Morphine,Heroin,,0,,,,13,0,0,0,4,1,1,1,0,1,2,3,5,0,2,6,3,1,6,1,15,2,16,8,8,5,4,1,1,2,4,0,13,5
,,,Marijuana (herb),Marijuana (herb),298,0,0,7,4,39,4,0,0,38,34,0,0,1,5,0,7'217,0,0,0,,0,1,25,2,2,1,0,0,458,1,2,3,10,70,4,12,194,595
,,,Opium,Opium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,,Other drugs,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
,,,,Cannabis oil,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,Cannabis plants,,245,286,1,146'659,26,,,,21,,24,,4,59,2,10,15,1,4,2,1,,13,29,0,6,8,1,1,3,4,5,3,1,3,9,1,0
,,,,Cannabis seed,,0,,,0,0,0,,,,,0,0,0,1,0,4,0,0,0,0,,,0,0,,,0,,,0,0,0,0,0,1,0,0,
,,,,Depressants (excluding Methaqualone),,0,,,,0,0,,,0,,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,,0,,,,,,,,,,
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0
,,,,LSD,,,,,0,0,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,,0,0,,,,,,,0,,0,0
,,,,Non-specified,,,,,,,,,,,,,,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,Other illicit opioids,,,,,,,,,,,,0,0,0,,,,,0,,0,,0,,,0,,,,,,,,,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,,,,,,6,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,65,1,0,,0,0,0,2,0,,,,,1'803,5'840,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,20,20,423,1'401,1'197,159,623,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
,,Monaco,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,
,,,,Non-specified ATS,,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",,,0,0,0,0,0,0,0,0,0,2,,,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,,,,,,,,0,,,,0,0,,0,0,,,,,,,,,,,,,,,
,,,Hashish (resin),Hashish (resin),0,0,5,0,0,0,1,0,0,0,0,139,0,0,0,0,1,0,0,0,1,,0,1'383,,0,0,,0,0,,,,0,,,,,
,,,Heroine and Morphine,Heroin,,,,0,,0,0,,0,0,0,0,,,0,0,0,0,,,,,,0,,,,,0,,,,,,,,,,
,,,,Illicit morphine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marijuana (herb),Marijuana (herb),0,,,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,,,0,,,,,
,,,Other drugs,Cannabis oil,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,0,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
,,,,Cannabis seed,0,0,0,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LSD,,0,,,,,,,,,,,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other illicit opioids,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,
,,Netherlands,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,,579,481,884,592,2'028,642,2'805,1'157,1'949,430,1'321,715,,,1'543,1'543,122,1
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,45,3,1,,,53,53,23,6
,,,,Non-specified ATS,19,29,129,68,39,77,151,125,53,155,55,248,335,293,350,45,324,841,1'511,864,293,,,,,,,40,,,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,,,,,,,,,
,,,Cocaine,"Cocaine (base, paste and salts)",46,10,37,59,180,125,274,406,517,1'425,4'288,2'492,3'433,3'720,8'200,4'851,9'222,11'495,8'998,10'361,6'472,8'382,7'968,17'560,12'387,14'603,10'584,10'478,6'757,4'934,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10'021,10'091,10'001,12'353,8'759,12'010,12'010,14'628,40'134
,,,Ecstasy,Ecstasy-type substances,,,,,,,3,,,252,0,1,1'807,463,135,534,974,939,315,993,2'123,1'112,2'688,1'904,2'039,945,1'780,3'604,452,50,343,583,722,13,361,609,609,1'249,472
,,,Hashish (resin),Hashish (resin),14'200,13'872,11'536,25'300,11'376,14'112,,31'882,46'221,14'071,90'010,73'962,75'292,28'173,43'299,57'051,38'047,30'272,70'696,61'226,29'590,10'972,32'717,10'719,16'101,12'090,4'622,9'948,24'443,4'633,3'444,1'087,2'200,1'566,10,844,844,943,7'288
,,,Heroine and Morphine,Heroin,116,173,225,150,144,364,553,518,510,494,532,406,570,916,246,351,516,999,784,770,896,739,1'122,417,1'260,901,984,519,803,596,548,398,750,302,1'992,230,230,1'110,354
,,,,Illicit morphine,1,6,1,0,0,0,1,0,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,,,,0,
,,,Marijuana (herb),Marijuana (herb),140,4'397,3'013,3'780,18'896,20'789,47'855,16'620,22'017,28'244,19'752,22'330,19'301,110'049,190'477,275'035,64'903,35'315,55'463,49'115,10'330,21'139,42'675,8'246,9'724,4'237,6'641,5'473,42'359,5'942,4'376,5'000,15'040,1'640,,15'489,15'489,5'906,3'002
,,,Opium,Opium,0,4,14,5,0,0,0,0,1,,,,,,0,,,,,,,,,0,3,3,4,0,12,,13,1'140,1,,,3,3,0,
,,,Other drugs,Cannabis oil,5,,,19,5,1,1,0,0,4,,,,19,,,508,,150,1,,,,,,,,,,,,,,,,,,,
,,,,Cannabis plants,,,,,,,,,,,,6'000,31'324,19'441,,54'934,127'253,55'314,35'318,58'259,66'185,88'461,90'038,111'186,112'717,167'210,157'001,85'115,105'337,86'334,160'089,181'978,140'550,121'829,162'000,150'219,100'663,48'677,550'470
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,,,,23,108,2,128,142,1'315,41,54,89,,,21,21,0,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,,3,,,201,201,1,
,,,,LSD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,
,,,,Methaqualone,,,,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Non-specified cannabis-type,,,,,,,,,,,,,,,,,,,,,,,,,,2'223,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,0,1,1,2,0,0,,,,,,,,,,,,,,,,,,278,9,8,,,6,,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,,,,,,,287,40
,,,,Other illicit opioids,0,,,,,,,,,,,,,,,1,0,2,0,55,16,,,,,,,,,,,,,,,,,,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19'926,,1,0,,,,,,
,,,,Other types of cannabis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,2,7,4,3,,11,1,0,2,,1,,,0,0,0,
,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0,2,1,,,,,,
,,,,Plant-based NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8'944,2'362,10'999,10'999,11'483,3'331
,,Norway,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,,93,93,211,215,231,120,323,393,260,201,151,84,184,315,316,471,402,431,414
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,2,14,24,32,65,38,68,167,103,231,140,156,131,189,107,108,63,78,33
,,,,Non-specified ATS,1,3,5,14,11,14,20,8,13,14,25,20,12,26,13,53,30,93,208,54,0,1,1,0,0,3,0,1,1,15,,,,,,,,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,0,0,1,,,
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,1,
,,,Cocaine,"Cocaine (base, paste and salts)",0,0,0,0,0,1,0,6,2,0,1,5,2,8,5,4,24,5,93,60,12,21,36,31,41,177,41,95,77,61,94,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,48,187,149,86,102,80,100
,,,,Crack,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,,,,,,,,,,,
,,,Ecstasy,Ecstasy-type substances,,,,,,,,,0,0,0,141,0,0,0,3,3,4,5,7,13,17,28,27,16,5,8,22,9,6,2,3,3,6,25,59,22,21,28
,,,Hashish (resin),Hashish (resin),,125,,311,266,196,206,125,144,372,222,388,177,207,457,501,641,904,1'874,1'255,633,809,1'098,2'223,2'092,1'352,1'460,669,1'233,2'411,822,2'549,1'612,2'255,1'920,2'010,3'026,2'035,256
,,,Heroine and Morphine,Heroin,4,1,1,5,3,5,6,4,12,5,3,11,11,18,26,48,74,56,37,46,52,68,59,52,129,36,93,8,55,130,102,15,44,55,44,61,13,99,48
,,,,Illicit morphine,0,0,0,0,0,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,
,,,Marijuana (herb),Marijuana (herb),114,19,127,11,31,,,,,,8,5,6,,4,19'445,70,44,88,16,21,35,106,48,34,44,29,76,152,122,209,220,330,481,506,258,563,385,273
,,,Opium,Opium,1,,,0,0,,,,,,0,,0,0,3,0,1,0,2,2,10,3,0,0,8,2,0,0,4,1,,0,1,4,1,9,1,0,8
,,,Other drugs,Any Illicit drugs,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,0,
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,11,10,8,8,7,9
,,,,Cannabis oil,0,0,,24,0,,,,,,0,0,,,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,1,2,1,0,0,4,
,,,,Cannabis plants,,,,4,61,84,,,,,,,,,3,12,7,23,23,29,19,30,16,21,132,44,50,119,347,56,156,209,141,153,276,62,48,43,
,,,,Coca leaf,,,,,,,,,,,,,,,,,,,0,3,,,0,0,,0,,0,,,,0,1,,0,0,2,3,
,,,,Depressants (excluding Methaqualone),0,0,0,0,0,,37,1,1,,,,,0,0,0,1,1,1,2,4,9,13,6,6,13,11,8,6,1'275,,,,,,,,,
,,,,GBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,276,43,,908,222,190,
,,,,GHB,,,,,,,,,,,,,,,,,,,,,,11,47,911,31,1,4,67,42,233,83,520,126,118,87,150,123,171,
,,,,Ketamine and phencyclidine-type substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,
,,,,LSD,0,0,,0,0,,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0
,,,,Non-specified,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,
,,,,Non-specified hallucinogens,0,,1,1,0,,,,,,,,,,,,,,,,0,0,1,1,6,6,2,3,3,9,,,,,,,,,
,,,,Other Hallucinogens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,0,5,1,0,0,
,,,,Other illicit opioids,0,0,0,,,,,,,0,0,,0,0,0,0,,,,0,0,1,2,1,1,1,1,1,0,0,,,,,,,,,
,,,,Other miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,35,1,,
,,,,Other NPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,
,,,,Other Plant-based substances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,,2,2,3,
,,,,Other sedatives and tranquillizers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,206,0,0,0,
,,,,Other substances not under int. control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309
,,,,Pharmaceutical opioids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,0,0,,0,
,,,,Phenethylamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,1,,,0,,,
,,,,Piperazines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,
,,,,Plant-based NPS,,,,,,,,,,190,201,206,267,246,722,1'334,1'544,1'725,2'870,,4'309,2'296,1'675,4'824,3'668,2'766,2'762,7'747,8'842,3'072,3'668,7'209,,,,,,,
,,,,Poppy plants,0,,7,6,1,,,,,,22,,,82,0,253,,0,0,,0,,,,,,,,,,,,,,,,,,
,,,,Poppy seed,,,,,,,,,,,,,,,,,41,,,0,,,,,,0,,,,,,,,,,,,,
,,,,Synthetic cannabinoids (Spice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
,,,,Synthetic cathinones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,0,
,,Poland,ATS (excluding ecstasy),Amphetamine,,,,,,,,,,,,,,,,,,,,51,142,195,162,193,236,462,332,424,342,422,534,395,614,726,783,696,945,633,1'323
,,,,Methamphetamine,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,0,0,1,520,4,38,41,51,18,33,31
,,,,Non-specified ATS,,,,,,,,,,16,,5,50,28,36,19,15,27,52,,,,,,,,,,,6,,,,,,,961,,
,,,,Other stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,53,23,3,9,38,47,113,2
,,,,Prescription stimulants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
,,,Cocaine,"Cocaine (base, paste and salts)",,,,,,,,,,,,110,49,107,526,383,31,16,21,20,6,,422,401,22,17,22,161,,117,,,,,,,,,
,,,,Cocaine salts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,78,213,21,31,219,449,81,277
,,,Ecstasy,Ecstasy-type substances,,,,,,,,0,0,0,,,,,,,,,0,2,35,63,10,27,73,134,39,173,0,59,73,20,11,12,65,111,81,42,467
,,,Hashish (resin),Hashish (resin),,2,0,,,,,,,,,,3,6'595,17,10'001,5,628,8,49,,9,217,34,41,19,35,33,115,17,85,59,39,208,99,843,33,1'237,8'316
,,,Heroine and Morphine,Heroin,52,13,,2,10,,,,,,,13,6,13,64,66,43,143,67,45,508,208,293,7,77,41,155,178,79,8,25,51,36,5,273,4,9,2,9
,,,,Illicit morphine,,,,,,,,,0,,,,,,,,,,,,1,,,,,0,0,,0,5,0,,0,0,0,0,0,,
,,,Marijuana (herb),Marijuana (herb),0,0,,,,,,,,,11,8,3,566,164,2'087,2'631,62,62,848,139,74,496,198,206,227,401,353,479,883,1'501,1'265,1'489,1'243,2'720,1'830,2'569,3'620,4'260
,,,Opium,Opium,0,,,,0,4,0,0,0,,,,,,8,,,,,,55,,16,54,,0,,,,55,,,,,,,,,
,,,Other drugs,Anabolic steroids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,66,1'117
,,,,Benzodiazepines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,1
,,,,Cannabis oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,170,3,
,,,,Cannabis plants,0,,,0,0,,,,,,,,,2'400,1'600,8'000,200,12'105,1'904,900,1,15,1'600,8'616,1'544,3'349,392,408,301,111,5'480,5'291,6'159,6'929,0,10'334,10'852,45,
